Referans No, Ülkesi, Ad ve Soyadý, Görevi
00001, Fransa, Marie Leroy, Beslenme Yardýmý
00002, Türkiye, Ayþe Hastürk, Barýnma Yardýmý
00003, Fransa, Julien Lambert, Barýnma Yardýmý
00004, Almanya, Maria Koch, Enkaz Kazýcý
00005, Fransa, Léa Dubois, Beslenme Yardýmý
00006, Türkiye, Hatice Özen, Beslenme Yardýmý
00007, Fransa, Léa Mercier, Beslenme Yardýmý
00008, Fransa, Quentin Leroy, Enkaz Kazýcý
00009, Türkiye, Ayþe Hastürk, Týbbi Yardým
00010, Fransa, Quentin Bernard, Barýnma Yardýmý
